food_id,name,kcal,protein,carb,fat,fiber
TACO048,"Pão, aveia, forma",343,12.4,59.6,5.7,6.0
TACO049,"Pão, de soja",309,11.3,56.5,3.6,5.7
TACO050,"Pão, glúten, forma",253,12.0,44.1,2.7,2.5
TACO051,"Pão, milho, forma",292,8.3,56.4,3.1,4.3
TACO052,"Pão, trigo, forma, integral",253,9.4,49.9,3.7,6.9
TACO053,"Pão, trigo, francês",300,8.0,58.6,3.1,2.3
TACO054,"Pão, trigo, sovado",311,8.4,61.5,2.8,2.4
TACO055,"Pastel, de carne, cru",289,10.7,42.0,8.8,1.0
TACO056,"Pastel, de carne, frito",388,10.1,43.8,20.1,1.0
TACO057,"Pastel, de queijo, cru",308,9.9,45.9,9.6,1.1
TACO058,"Pastel, de queijo, frito",422,8.7,48.1,22.7,0.9
TACO059,"Pastel, massa, crua",310,6.9,57.4,5.5,1.4
TACO060,"Pastel, massa, frita",570,6.0,49.3,40.9,1.3
TACO061,"Pipoca, com óleo de soja, sem sal",448,9.9,70.3,15.9,14.3
TACO062,"Polenta, pré-cozida",103,2.3,23.3,0.3,2.4
TACO063,"Torrada, pão francês",377,10.5,74.6,3.3,3.4
TACO064,"Abóbora, cabotian, cozida",48,1.4,10.8,0.7,2.5
TACO065,"Abóbora, cabotian, crua",39,1.7,8.4,0.5,2.2
TACO066,"Abóbora, menina brasileira, crua",14,0.6,3.3,0.0,1.2
TACO067,"Abóbora, moranga, crua",12,1.0,2.7,0.1,1.7
TACO068,"Abóbora, moranga, refogada",29,0.4,6.0,0.8,1.5
TACO069,"Abóbora, pescoço, crua",24,0.7,6.1,0.1,2.3
TACO070,"Abobrinha, italiana, cozida",15,1.1,3.0,0.2,1.6
TACO071,"Abobrinha, italiana, crua",19,1.1,4.3,0.1,1.4
TACO072,"Abobrinha, italiana, refogada",24,1.1,4.2,0.8,1.4
TACO073,"Abobrinha, paulista, crua",31,0.6,7.9,0.1,2.6
TACO074,"Acelga, crua",21,1.4,4.6,0.1,1.1
TACO075,"Agrião, cru",17,2.7,2.3,0.2,2.1
TACO076,"Aipo, cru",19,0.8,4.3,0.1,1.0
TACO077,"Alface, americana, crua",9,0.6,1.7,0.1,1.0
TACO078,"Alface, crespa, crua",11,1.3,1.7,0.2,1.8
TACO079,"Alface, lisa, crua",14,1.7,2.4,0.1,2.3
TACO080,"Alface, roxa, crua",13,0.9,2.5,0.2,2.0
TACO081,"Alfavaca, crua",29,2.7,5.2,0.5,4.1
TACO082,"Alho, cru",113,7.0,23.9,0.2,4.3
TACO083,"Alho-poró, cru",32,1.4,6.9,0.1,2.5
TACO084,"Almeirão, cru",18,1.8,3.3,0.2,2.6
TACO085,"Almeirão, refogado",65,1.7,5.7,4.8,3.4
TACO086,"Batata, baroa, cozida",80,0.9,18.9,0.2,1.8
TACO087,"Batata, baroa, crua",101,1.0,24.0,0.2,2.1
TACO088,"Batata, doce, cozida",77,0.6,18.4,0.1,2.2
TACO089,"Batata, doce, crua",118,1.3,28.2,0.1,2.6
TACO090,"Batata, frita, tipo chips, industrializada",543,5.6,51.2,36.6,2.5
TACO091,"Batata, inglesa, cozida",52,1.2,11.9,0.0,1.3
TACO092,"Batata, inglesa, crua",64,1.8,14.7,0.0,1.2
TACO093,"Batata, inglesa, frita",267,5.0,35.6,13.1,8.1
TACO094,"Batata, inglesa, sauté",68,1.3,14.1,0.9,1.4
TACO095,"Berinjela, cozida",19,0.7,4.5,0.1,2.5
TACO096,"Berinjela, crua",20,1.2,4.4,0.1,2.9
TACO097,"Beterraba, cozida",32,1.3,7.2,0.1,1.9
TACO098,"Beterraba, crua",49,1.9,11.1,0.1,3.4
TACO099,"Biscoito, polvilho doce",438,1.3,80.5,12.2,1.2
TACO100,"Brócolis, cozido",25,2.1,4.4,0.5,3.4
TACO101,"Brócolis, cru",25,3.6,4.0,0.3,2.9
TACO102,"Cará, cozido",78,1.5,18.9,0.1,2.6
TACO103,"Cará, cru",96,2.3,23.0,0.1,7.3
TACO104,"Caruru, cru",34,3.2,6.0,0.6,4.5
TACO105,"Catalonha, crua",24,1.9,4.8,0.3,2.0
TACO106,"Catalonha, refogada",63,2.0,4.8,4.8,3.7
TACO107,"Cebola, crua",39,1.7,8.9,0.1,2.2
TACO108,"Cebolinha, crua",20,1.9,3.4,0.4,3.6
TACO109,"Cenoura, cozida",30,0.8,6.7,0.2,2.6
TACO110,"Cenoura, crua",34,1.3,7.7,0.2,3.2
TACO111,"Chicória, crua",14,1.1,2.9,0.1,2.2
TACO112,"Chuchu, cozido",19,0.4,4.8,0.0,1.0
TACO113,"Chuchu, cru",17,0.7,4.1,0.1,1.3
TACO114,"Coentro, folhas desidratadas",309,20.9,48.0,10.4,37.3
TACO115,"Couve, manteiga, crua",27,2.9,4.3,0.5,3.1
TACO116,"Couve, manteiga, refogada",90,1.7,8.7,6.6,5.7
TACO117,"Couve-flor, crua",23,1.9,4.5,0.2,2.4
TACO118,"Couve-flor, cozida",19,1.2,3.9,0.3,2.1
TACO119,"Espinafre, Nova Zelândia, cru",16,2.0,2.6,0.2,2.1
TACO120,"Espinafre, Nova Zelândia, refogado",67,2.7,4.2,5.4,2.5
TACO121,"Farinha, de mandioca, crua",361,1.6,87.9,0.3,6.4
TACO122,"Farinha, de mandioca, torrada",365,1.2,89.2,0.3,6.5
TACO123,"Farinha, de puba",360,1.6,87.3,0.5,4.2
TACO124,"Fécula, de mandioca",331,0.5,81.1,0.3,0.6
TACO125,"Feijão, broto, cru",39,4.2,7.8,0.1,2.0
TACO126,"Inhame, cru",97,2.1,23.2,0.2,1.7
TACO127,"Jiló, cru",27,1.4,6.2,0.2,4.8
TACO128,"Jurubeba, crua",126,4.4,23.1,3.9,23.9
TACO129,"Mandioca, cozida",125,0.6,30.1,0.3,1.6
TACO130,"Mandioca, crua",151,1.1,36.2,0.3,1.9
TACO131,"Mandioca, farofa, temperada",406,2.1,80.3,9.1,7.8
TACO132,"Mandioca, frita",300,1.4,50.3,11.2,1.9
TACO133,"Manjericão, cru",21,2.0,3.6,0.4,3.3
TACO134,"Maxixe, cru",14,1.4,2.7,0.1,2.2
TACO135,"Mostarda, folha, crua",18,2.1,3.2,0.2,1.9
TACO136,"Nhoque, batata, cozido",181,5.9,36.8,1.9,1.8
TACO137,"Nabo, cru",18,1.2,4.1,0.1,2.6
TACO138,"Palmito, juçara, em conserva",23,1.8,4.3,0.4,3.2
TACO139,"Palmito, pupunha, em conserva",29,2.5,5.5,0.5,2.6
TACO140,"Pão, de queijo, assado",363,5.1,34.2,24.6,0.6
TACO141,"Pão, de queijo, cru",295,3.6,38.5,14.0,1.0
TACO142,"Pepino, cru",10,0.9,2.0,0.0,1.1
TACO143,"Pimentão, amarelo, cru",28,1.2,6.0,0.4,1.9
TACO144,"Pimentão, verde, cru",21,1.1,4.9,0.2,2.6
TACO145,"Pimentão, vermelho, cru",23,1.0,5.5,0.1,1.6
TACO146,"Polvilho, doce",351,0.4,86.8,0.0,0.2
TACO147,"Quiabo, cru",30,1.9,6.4,0.3,4.6
TACO148,"Rabanete, cru",14,1.4,2.7,0.1,2.2
TACO149,"Repolho, branco, cru",17,0.9,3.9,0.1,1.9
TACO150,"Repolho, roxo, cru",31,1.9,7.2,0.1,2.0
TACO151,"Repolho, roxo, refogado",42,1.8,7.6,1.2,1.8
TACO152,"Rúcula, crua",13,1.8,2.2,0.1,1.7
TACO153,"Salsa, crua",33,3.3,5.7,0.6,1.9
TACO154,"Seleta de legumes, enlatada",57,3.4,12.7,0.4,3.1
TACO155,"Serralha, crua",30,2.7,4.9,0.7,3.5
TACO156,"Taioba, crua",34,2.9,5.4,0.9,4.5
TACO157,"Tomate, com semente, cru",15,1.1,3.1,0.2,1.2
TACO158,"Tomate, extrato",61,2.4,15.0,0.2,2.8
TACO159,"Tomate, molho industrializado",38,1.4,7.7,0.9,3.1
TACO160,"Tomate, purê",28,1.4,6.9,0.0,1.0
TACO161,"Tomate, salada",21,0.8,5.1,0.0,2.3
TACO162,"Vagem, crua",25,1.8,5.3,0.2,2.4
TACO163,"Abacate, cru",96,1.2,6.0,8.4,6.3
TACO164,"Abacaxi, cru",48,0.9,12.3,0.1,1.0
TACO165,"Abacaxi, polpa, congelada",31,0.5,7.8,0.1,0.3
TACO166,"Abiu, cru",62,0.8,14.9,0.7,1.7
TACO167,"Açaí, polpa, com xarope de guaraná e glucose",110,0.7,21.5,3.7,1.7
TACO168,"Açaí, polpa, congelada",58,0.8,6.2,3.9,2.6
TACO169,"Acerola, crua",33,0.9,8.0,0.2,1.5
TACO170,"Acerola, polpa, congelada",22,0.6,5.5,0.0,0.7
TACO171,"Ameixa, calda, enlatada",183,0.4,46.9,0.0,0.5
TACO172,"Ameixa, crua",53,0.8,13.9,0.0,2.4
TACO173,"Ameixa, em calda, enlatada, drenada",177,1.0,47.7,0.3,4.5
TACO174,"Atemóia, crua",97,1.0,25.3,0.3,2.1
TACO175,"Banana, da terra, crua",128,1.4,33.7,0.2,1.5
TACO176,"Banana, doce em barra",280,2.2,75.7,0.1,3.8
TACO177,"Banana, figo, crua",105,1.1,27.8,0.1,2.8
TACO178,"Banana, maçã, crua",87,1.8,22.3,0.1,2.6
TACO179,"Banana, nanica, crua",92,1.4,23.8,0.1,1.9
TACO180,"Banana, ouro, crua",112,1.5,29.3,0.2,2.0
TACO181,"Banana, pacova, crua",78,1.2,20.3,0.1,2.0
TACO182,"Banana, prata, crua",98,1.3,26.0,0.1,2.0
TACO183,"Cacau, cru",74,1.0,19.4,0.1,2.2
TACO184,"Cajá-Manga, cru",46,1.3,11.4,0.0,2.6
TACO185,"Cajá, polpa, congelada",26,0.6,6.4,0.2,1.4
TACO186,"Caju, cru",43,1.0,10.3,0.3,1.7
TACO187,"Caju, polpa, congelada",37,0.5,9.4,0.2,0.8
TACO188,"Caju, suco concentrado, envasado",45,0.4,10.7,0.2,0.6
TACO189,"Caqui, chocolate, cru",71,0.4,19.3,0.1,6.5
TACO190,"Carambola, crua",46,0.9,11.5,0.2,2.0
TACO191,"Ciriguela, crua",76,1.4,18.9,0.4,3.9
TACO192,"Cupuaçu, cru",49,1.2,10.4,1.0,3.1
TACO193,"Cupuaçu, polpa, congelada",49,0.8,11.4,0.6,1.6
TACO194,"Figo, cru",41,1.0,10.2,0.2,1.8
TACO195,"Figo, enlatado, em calda",184,0.6,50.3,0.2,2.0
TACO196,"Fruta-pão, crua",67,1.1,17.2,0.2,5.5
TACO197,"Goiaba, branca, com casca, crua",52,0.9,12.4,0.5,6.3
TACO198,"Goiaba, doce em pasta",269,0.6,74.1,0.0,3.7
TACO199,"Goiaba, doce, cascão",286,0.4,78.7,0.1,4.4
TACO200,"Goiaba, vermelha, com casca, crua",54,1.1,13.0,0.4,6.2
TACO201,"Graviola, crua",62,0.8,15.8,0.2,1.9
TACO202,"Graviola, polpa, congelada",38,0.6,9.8,0.1,1.2
TACO203,"Jabuticaba, crua",58,0.6,15.3,0.1,2.3
TACO204,"Jaca, crua",88,1.4,22.5,0.3,2.4
TACO205,"Jambo, cru",27,0.9,6.5,0.1,5.1
TACO206,"Jamelão, cru",41,0.5,10.6,0.1,1.8
TACO207,"Kiwi, cru",51,1.3,11.5,0.6,2.7
TACO208,"Laranja, baía, crua",45,1.0,11.5,0.1,1.1
TACO209,"Laranja, baía, suco",37,0.7,8.7,0.0,0.0
TACO210,"Laranja, da terra, crua",51,1.1,12.9,0.2,4.0
TACO211,"Laranja, da terra, suco",41,0.7,9.6,0.1,1.0
TACO212,"Laranja, lima, crua",46,1.1,11.5,0.1,1.8
TACO213,"Laranja, lima, suco",39,0.7,9.2,0.1,0.4
TACO214,"Laranja, pêra, crua",37,1.0,8.9,0.1,0.8
TACO215,"Laranja, pêra, suco",33,0.7,7.6,0.1,0.0
TACO216,"Laranja, valência, crua",46,0.8,11.7,0.2,1.7
TACO217,"Laranja, valência, suco",36,0.5,8.6,0.1,0.4
TACO218,"Limão, cravo, suco",14,0.3,5.2,0.0,0.0
TACO219,"Limão, galego, suco",22,0.6,7.3,0.1,0.0
TACO220,"Limão, tahiti, cru",32,0.9,11.1,0.1,1.2
TACO221,"Maçã, Argentina, com casca, crua",63,0.2,16.6,0.2,2.0
TACO222,"Maçã, Fuji, com casca, crua",56,0.3,15.2,0.0,1.3
TACO223,"Macaúba, crua",404,2.1,13.9,40.7,13.4
TACO224,"Mamão, doce em calda, drenado",196,0.2,54.0,0.1,1.3
TACO225,"Mamão, Formosa, cru",45,0.8,11.6,0.1,1.8
TACO226,"Mamão, Papaia, cru",40,0.5,10.4,0.1,1.0
TACO227,"Mamão verde, doce em calda, drenado",209,0.3,57.6,0.1,1.2
TACO228,"Manga, Haden, crua",64,0.4,16.7,0.3,1.6
TACO229,"Manga, Palmer, crua",72,0.4,19.4,0.2,1.6
TACO230,"Manga, polpa, congelada",48,0.4,12.5,0.2,1.1
TACO231,"Manga, Tommy Atkins, crua",51,0.9,12.8,0.2,2.1
TACO232,"Maracujá, cru",68,2.0,12.3,2.1,1.1
TACO233,"Maracujá, polpa, congelada",39,0.8,9.6,0.2,0.5
TACO234,"Maracujá, suco concentrado, envasado",42,0.8,9.6,0.2,0.4
TACO235,"Melancia, crua",33,0.9,8.1,0.0,0.1
TACO236,"Melão, cru",29,0.7,7.5,0.0,0.3
TACO237,"Mexerica, Murcote, crua",58,0.9,14.9,0.1,3.1
TACO238,"Mexerica, Rio, crua",37,0.7,9.3,0.1,2.7
TACO239,"Morango, cru",30,0.9,6.8,0.3,1.7
TACO240,"Nêspera, crua",43,0.3,11.5,0.0,3.0
TACO241,"Pequi, cru",205,2.3,13.0,18.0,19.0
TACO242,"Pêra, Park, crua",61,0.2,16.1,0.2,3.0
TACO243,"Pêra, Williams, crua",53,0.6,14.0,0.1,3.0
TACO244,"Pêssego, Aurora, cru",36,0.8,9.3,0.0,1.4
TACO245,"Pêssego, enlatado, em calda",63,0.7,16.9,0.0,1.0
TACO246,"Pinha, crua",88,1.5,22.4,0.3,3.4
TACO247,"Pitanga, crua",41,0.9,10.2,0.2,3.2
TACO248,"Pitanga, polpa, congelada",19,0.3,4.8,0.1,0.7
TACO249,"Romã, crua",56,0.4,15.1,0.0,0.4
TACO250,"Tamarindo, cru",276,3.2,72.5,0.5,6.4
TACO251,"Tangerina, Poncã, crua",38,0.8,9.6,0.1,0.9
TACO252,"Tangerina, Poncã, suco",36,0.5,8.8,0.0,0.0
TACO253,"Tucumã, cru",262,2.1,26.5,19.1,12.7
TACO254,"Umbu, cru",37,0.8,9.4,0.0,2.0
TACO255,"Umbu, polpa, congelada",34,0.5,8.8,0.1,1.3
TACO256,"Uva, Itália, crua",53,0.7,13.6,0.2,0.9
TACO257,"Uva, Rubi, crua",49,0.6,12.7,0.2,0.9
TACO258,"Uva, suco concentrado, envasado",58,0.0,14.7,0.0,0.2
TACO259,"Azeite, de dendê",884,0.0,0.0,100.0,0.0
TACO260,"Azeite, de oliva, extra virgem",884,0.0,0.0,100.0,0.0
TACO261,"Manteiga, com sal",726,0.4,0.1,82.4,0.0
TACO262,"Manteiga, sem sal",758,0.4,0.0,86.0,0.0
TACO263,"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)",596,0.0,0.0,67.4,0.0
TACO264,"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)",723,0.0,0.0,81.7,0.0
TACO265,"Margarina, com óleo interesterificado, com sal (65%de lipídeos)",594,0.0,0.0,67.2,0.0
TACO266,"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)",593,0.0,0.0,67.1,0.0
TACO267,"Óleo, de babaçu",884,0.0,0.0,100.0,0.0
TACO268,"Óleo, de canola",884,0.0,0.0,100.0,0.0
TACO269,"Óleo, de girassol",884,0.0,0.0,100.0,0.0
TACO270,"Óleo, de milho",884,0.0,0.0,100.0,0.0
TACO271,"Óleo, de pequi",884,0.0,0.0,100.0,0.0
TACO272,"Óleo, de soja",884,0.0,0.0,100.0,0.0
TACO273,"Abadejo, filé, congelado, assado",112,23.5,0.0,1.2,0.0
TACO274,"Abadejo, filé, congelado,cozido",91,19.3,0.0,0.9,0.0
TACO275,"Abadejo, filé, congelado, cru",59,13.1,0.0,0.4,0.0
TACO276,"Abadejo, filé, congelado, grelhado",130,27.6,0.0,1.3,0.0
TACO277,"Atum, conserva em óleo",166,26.2,0.0,6.0,0.0
TACO278,"Atum, fresco, cru",118,25.7,0.0,0.9,0.0
TACO279,"Bacalhau, salgado, cru",136,29.0,0.0,1.3,0.0
TACO280,"Bacalhau, salgado, refogado",140,24.0,1.2,3.6,0.0
TACO281,"Cação, posta, com farinha de trigo, frita",208,25.0,3.1,10.0,0.5
TACO282,"Cação, posta, cozida",116,25.6,0.0,0.7,0.0
TACO283,"Cação, posta, crua",83,17.9,0.0,0.8,0.0
TACO284,"Camarão, Rio Grande, grande, cozido",90,19.0,0.0,1.0,0.0
TACO285,"Camarão, Rio Grande, grande, cru",47,10.0,0.0,0.5,0.0
TACO286,"Camarão, Sete Barbas, sem cabeça, com casca, frito",231,18.4,2.9,15.6,0.0
TACO287,"Caranguejo, cozido",83,18.5,0.0,0.4,0.0
TACO288,"Corimba, cru",128,17.4,0.0,6.0,0.0
TACO289,"Corimbatá, assado",261,19.9,0.0,19.6,0.0
TACO290,"Corimbatá, cozido",239,20.1,0.0,16.9,0.0
TACO291,"Corvina de água doce, crua",101,18.9,0.0,2.2,0.0
TACO292,"Corvina do mar, crua",94,18.6,0.0,1.6,0.0
TACO293,"Corvina grande, assada",147,26.8,0.0,3.6,0.0
TACO294,"Corvina grande, cozida",100,23.4,0.0,2.6,0.0
TACO295,"Dourada de água doce, fresca",131,18.8,0.0,5.6,0.0
TACO296,"Lambari, congelado, cru",131,16.8,0.0,6.5,0.0
TACO297,"Lambari, congelado, frito",327,28.4,0.0,22.8,0.0
TACO298,"Lambari, fresco, cru",152,15.7,0.0,9.4,0.0
TACO299,"Manjuba, com farinha de trigo, frita",344,23.5,10.2,22.6,0.4
TACO300,"Manjuba, frita",349,30.1,0.0,24.5,0.0
TACO301,"Merluza, filé, assado",122,26.6,0.0,0.9,0.0
TACO302,"Merluza, filé, cru",89,16.6,0.0,2.0,0.0
TACO303,"Merluza, filé, frito",192,26.9,0.0,8.5,0.0
TACO304,"Pescada, branca, crua",111,16.3,0.0,4.6,0.0
TACO305,"Pescada, branca, frita",223,27.4,0.0,11.8,0.0
TACO306,"Pescada, filé, com farinha de trigo, frito",283,21.4,5.0,19.1,0.0
TACO307,"Pescada, filé, cru",107,16.7,0.0,4.0,0.0
TACO308,"Pescada, filé, frito",154,28.6,0.0,3.6,0.0
TACO309,"Pescada, filé, molho escabeche",142,11.8,5.0,8.0,0.8
TACO310,"Pescadinha, crua",76,15.5,0.0,1.1,0.0
TACO311,"Pintado, assado",192,36.5,0.0,4.0,0.0
TACO312,"Pintado, cru",91,18.6,0.0,1.3,0.0
TACO313,"Pintado, grelhado",152,30.8,0.0,2.3,0.0
TACO314,"Porquinho, cru",93,20.5,0.0,0.6,0.0
TACO315,"Salmão, filé, com pele, fresco,  grelhado",229,23.9,0.0,14.0,0.0
TACO316,"Salmão, sem pele, fresco, cru",170,19.3,0.0,9.7,0.0
TACO317,"Salmão, sem pele, fresco, grelhado",243,26.1,0.0,14.5,0.0
TACO318,"Sardinha, assada",164,32.2,0.0,3.0,0.0
TACO319,"Sardinha, conserva em óleo",285,15.9,0.0,24.0,0.0
TACO320,"Sardinha, frita",257,33.4,0.0,12.7,0.0
TACO321,"Sardinha, inteira, crua",114,21.1,0.0,2.7,0.0
TACO322,"Tucunaré, filé, congelado, cru",88,18.0,0.0,1.2,0.0
TACO323,Apresuntado,129,13.5,2.9,6.7,0.0
TACO324,"Caldo de carne, tablete",241,7.8,15.1,16.6,0.6
TACO325,"Caldo de galinha, tablete",251,6.3,10.6,20.4,11.8
TACO326,"Carne, bovina, acém, moído, cozido",212,26.7,0.0,10.9,0.0
TACO327,"Carne, bovina, acém, moído, cru",137,19.4,0.0,5.9,0.0
TACO328,"Carne, bovina, acém, sem gordura, cozido",215,27.3,0.0,10.9,0.0
TACO329,"Carne, bovina, acém, sem gordura, cru",144,20.8,0.0,6.1,0.0
TACO330,"Carne, bovina, almôndegas, cruas",189,12.3,9.8,11.2,0.0
TACO331,"Carne, bovina, almôndegas, fritas",272,18.2,14.3,15.8,0.0
TACO332,"Carne, bovina, bucho, cozido",133,21.6,0.0,4.5,0.0
TACO333,"Carne, bovina, bucho, cru",137,20.5,0.0,5.5,0.0
TACO334,"Carne, bovina, capa de contra-filé, com gordura, crua",217,19.2,0.0,15.0,0.0
TACO335,"Carne, bovina, capa de contra-filé, com gordura, grelhada",312,30.7,0.0,20.0,0.0
TACO336,"Carne, bovina, capa de contra-filé, sem gordura, crua",131,21.5,0.0,4.3,0.0
TACO337,"Carne, bovina, capa de contra-filé, sem gordura, grelhada",239,35.1,0.0,10.0,0.0
TACO338,"Carne, bovina, charque, cozido",263,36.4,0.0,11.9,0.0
TACO339,"Carne, bovina, charque, cru",249,22.7,0.0,16.8,0.0
TACO340,"Carne, bovina, contra-filé, à milanesa",352,20.6,12.2,24.0,0.4
TACO341,"Carne, bovina, contra-filé de costela, cru",202,19.8,0.0,13.1,0.0
TACO342,"Carne, bovina, contra-filé de costela, grelhado",275,29.9,0.0,16.3,0.0
TACO343,"Carne, bovina, contra-filé, com gordura, cru",206,21.2,0.0,12.8,0.0
TACO344,"Carne, bovina, contra-filé, com gordura, grelhado",278,32.4,0.0,15.5,0.0
TACO345,"Carne, bovina, contra-filé, sem gordura, cru",157,24.0,0.0,6.0,0.0
TACO346,"Carne, bovina, contra-filé, sem gordura, grelhado",194,35.9,0.0,4.5,0.0
TACO347,"Carne, bovina, costela, assada",373,28.8,0.0,27.7,0.0
TACO348,"Carne, bovina, costela, crua",358,16.7,0.0,31.8,0.0
TACO349,"Carne, bovina, coxão duro, sem gordura, cozido",217,31.9,0.0,8.9,0.0
TACO350,"Carne, bovina, coxão duro, sem gordura, cru",148,21.5,0.0,6.2,0.0
TACO351,"Carne, bovina, coxão mole, sem gordura, cozido",219,32.4,0.0,8.9,0.0
TACO352,"Carne, bovina, coxão mole, sem gordura, cru",169,21.2,0.0,8.7,0.0
TACO353,"Carne, bovina, cupim, assado",330,28.6,0.0,23.0,0.0
TACO354,"Carne, bovina, cupim, cru",221,19.5,0.0,15.3,0.0
TACO355,"Carne, bovina, fígado, cru",141,20.7,1.1,5.4,0.0
TACO356,"Carne, bovina, fígado, grelhado",225,29.9,4.2,9.0,0.0
TACO357,"Carne, bovina, filé mingnon, sem gordura, cru",143,21.6,0.0,5.6,0.0
TACO358,"Carne, bovina, filé mingnon, sem gordura, grelhado",220,32.8,0.0,8.8,0.0
TACO359,"Carne, bovina, flanco, sem gordura, cozido",196,29.4,0.0,7.8,0.0
TACO360,"Carne, bovina, flanco, sem gordura, cru",141,20.0,0.0,6.2,0.0
TACO361,"Carne, bovina, fraldinha, com gordura, cozida",338,24.2,0.0,26.0,0.0
TACO362,"Carne, bovina, fraldinha, com gordura, crua",221,17.6,0.0,16.1,0.0
TACO363,"Carne, bovina, lagarto, cozido",222,32.9,0.0,9.1,0.0
TACO364,"Carne, bovina, lagarto, cru",135,20.5,0.0,5.2,0.0
TACO365,"Carne, bovina, língua, cozida",315,21.4,0.0,24.8,0.0
TACO366,"Carne, bovina, língua, crua",215,17.1,0.0,15.8,0.0
TACO367,"Carne, bovina, maminha, crua",153,20.9,0.0,7.0,0.0
TACO368,"Carne, bovina, maminha, grelhada",153,30.7,0.0,2.4,0.0
TACO369,"Carne, bovina, miolo de alcatra, sem gordura, cru",163,21.6,0.0,7.8,0.0
TACO370,"Carne, bovina, miolo de alcatra, sem gordura, grelhado",241,31.9,0.0,11.6,0.0
TACO371,"Carne, bovina, músculo, sem gordura, cozido",194,31.2,0.0,6.7,0.0
TACO372,"Carne, bovina, músculo, sem gordura, cru",142,21.6,0.0,5.5,0.0
TACO373,"Carne, bovina, paleta, com gordura, crua",159,21.4,0.0,7.5,0.0
TACO374,"Carne, bovina, paleta, sem gordura, cozida",194,29.7,0.0,7.4,0.0
